"Data.Number Plate","Data.State","Data.Car.Make","Data.Car.Style","Data.Car.Color","Data.Location","Data.Violation","Data.Fine","Date.Year","Date.Month","Date.Day","Date.Time.Hour","Date.Time.Minute"
"UKN4870","VA","Chrysler","Four Door","Gray","GRANBY STREET","METER EXPIRED ","175.0","2021","1","12","14","1"
"UEX9879","VA","Hyundai"," ","White","RANDOLPH STREET","METER EXPIRED ","175.0","2021","1","13","15","1"
"UWD5719","VA","Chevrolet","Four Door","Black","GRANBY STREET","METER EXPIRED ","175.0","2021","1","14","17","1"
"VSB8589","VA","Mazda","Four Door","Silver","RANDOLPH STREET","METER EXPIRED ","175.0","2021","1","15","10","1"
"UHG2819","VA","Ford","Sports Utility Veh","Black","E PLUME STREET","METER EXPIRED ","175.0","2021","1","25","14","1"
"UKC7946","VA","Toyota","Four Door","Black","GRANBY STREET","METER EXPIRED ","175.0","2021","2","1","13","2"
"UJT8353","VA","Chevrolet","Four Door","Gray","E PLUME STREET","METER EXPIRED ","175.0","2021","2","5","16","2"
"UFE6913","VA","Toyota","Truck","Black","GRANBY STREET","METER EXPIRED ","175.0","2021","2","9","13","2"
"UJH4041","VA","Honda","Four Door","Silver","45TH STREET","METER EXPIRED ","175.0","2021","2","23","11","2"
"VJZ7442","VA","Mercedes-Benz","Four Door","Black","E MAIN STREET","METER EXPIRED ","175.0","2021","3","3","16","3"
"UGU3282","VA","Toyota","Four Door","Red","W PLUME STREET","METER EXPIRED ","175.0","2021","3","4","14","3"
"VZL1301","VA","Chrysler","Four Door","Gray","E MAIN STREET","METER EXPIRED ","175.0","2021","3","5","9","3"
"UKR6174","VA","Mercedes-Benz","Four Door","Black","GRANBY STREET","METER EXPIRED ","175.0","2021","3","11","15","3"
"UXK8074","VA","Nissan","Four Door","Black","GRANBY STREET","METER EXPIRED ","175.0","2021","3","24","15","3"
"24192C","VA","Audi","Four Door","Green","NICHOLSON STREET","NO PARKING ","175.0","2021","5","6","16","5"
"G55044","VA","Nissan","Four Door","Black","DUNMORE STREET","NO PARKING - STREET CLEANING ","175.0","2020","8","6","9","8"
"K93099","VA","Buick","Four Door","Black","SCOTT STREET","NO PARKING - STREET CLEANING ","175.0","2020","9","2","9","9"
"VPN6176","VA","Ford","Four Door","Red","BOISSEVAIN AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","9","2","9","9"
"K63941","VA","Dodge","Van","White","TRICE TERRACE","NO PARKING - STREET CLEANING ","175.0","2020","9","2","10","9"
"L22937","VA","Acura","Four Door","Black","SEAY AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","9","2","10","9"
"K94840","VA","Suzuki","Sports Utility Veh","Green","GATLING AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","9","2","10","9"
"VZG4248","VA","Volkswagen","Four Door","Black","COLONIAL AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","9","2","12","9"
"AEV2195","VA","General Motors","Sports Utility Veh","Gray","GATLING AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","9","3","10","9"
"1115UL","VA","Mazda","Sports Utility Veh","Gray","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","9","8","9","9"
"ULG1070","VA","Chevrolet","Four Door","Blue","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","9","8","10","9"
"UWP3275","VA","Chrysler","Four Door","Burgundy","33RD STREET","NO PARKING - STREET CLEANING ","175.0","2020","9","8","11","9"
"8561BR","VA","Chevrolet","Truck","Red","GOSNOLD AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","9","8","11","9"
"UKH1931","VA","Scion","Four Door","White","33RD STREET","NO PARKING - STREET CLEANING ","175.0","2020","9","9","10","9"
"UNP5791","VA","Lexus","Four Door","Gray","33RD STREET","NO PARKING - STREET CLEANING ","175.0","2020","9","9","10","9"
"UKU2231","VA","Ford","Two Door","White","32ND ST","NO PARKING - STREET CLEANING ","175.0","2020","9","9","11","9"
"ULA2336","VA","Nissan","Four Door","Black","DELAWARE AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","9","9","12","9"
"UKJ9667","VA","Nissan","Four Door","Gray","FREMONT STREET","NO PARKING - STREET CLEANING ","175.0","2020","9","16","12","9"
"USW2270","VA","Hyundai","Four Door","Gray","STONEY POINT SOUTH","NO PARKING - STREET CLEANING ","175.0","2020","9","24","9","9"
"JUV7305","VA","Chrysler","Four Door"," ","STONEY POINT NORTH","NO PARKING - STREET CLEANING ","175.0","2020","9","24","10","9"
"VVD1791","VA","Hyundai","Sports Utility Veh","Blue","GREENWAY COURT","NO PARKING - STREET CLEANING ","175.0","2020","10","1","9","10"
"UNG6836","VA","Nissan","Four Door","Gray","SCOTT STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","1","9","10"
"L57374","VA","Toyota","Four Door","Gray","TRICE TERRACE","NO PARKING - STREET CLEANING ","175.0","2020","10","1","9","10"
"UZB9607","VA","Ford","Four Door","Black","CLAREMONT AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","1","10","10"
"HCE6712","NC","Jeep","Two Door","White","BLOW STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","1","11","10"
"BRRDUP","VA","Volkswagen","Four Door","Gray","CLAREMONT AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","1","12","10"
"UJB3737","VA","Volkswagen","Four Door","White","CLAREMONT AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","1","12","10"
"RHC5056","GA","Mercedes-Benz","Two Door","Black","HARRINGTON AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","1","12","10"
"DRD94","VA","Jeep","Sports Utility Veh","Burgundy","ALBERT AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","1","13","10"
"URH1524","VA","Jeep","Sports Utility Veh","Gray","COLONIAL AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","7","9","10"
"WRS3375","VA","Chevrolet","Four Door","Black","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","7","10","10"
"UKB9235","VA","Buick","Four Door","Green","GRAYDON AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","7","11","10"
"748GQ","VA","General Motors","Van","Gray","MARIETTA AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","8","12","10"
"VRYSAFE","VA","Volvo","Four Door","Gray","MARIETTA AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","8","12","10"
"PH6880","VA","Subaru","Sports Utility Veh","Silver","MICHIGAN AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","13","10","10"
"6692UQ","VA","Ford","Sports Utility Veh","Gray","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","13","11","10"
"UPM5262","VA","Chevrolet","Sports Utility Veh","Silver","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","13","11","10"
"VVY3349","VA","Buick","Sports Utility Veh","Burgundy","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","13","11","10"
"VMH3408","VA","Nissan","Sports Utility Veh","White","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","13","11","10"
"UNU3210","VA","Chrysler","Four Door","Silver","COLONIAL AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","13","12","10"
"UPM4381","VA","Nissan","Four Door","Blue","34TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","13","12","10"
"UJK2288","VA","Mini Cooper","Two Door","Gray","PENNSYLVANIA AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","14","9","10"
"HQVE68","FL","Nissan","Sports Utility Veh","White","W 28TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","14","9","10"
"XAK4818","VA","Pontiac","Four Door","Red","W 28TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","14","9","10"
"UJS1158","VA","Dodge","Station Wagon","Red","NEW YORK AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","14","10","10"
"ULL2077","VA","Nissan","Four Door","Silver","W 29TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","10","14","10","10"
"UZB6287","VA","Nissan","Four Door","Gray","PENNSYLVANIA AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","14","13","10"
"UKS9855","VA","Chevrolet","Four Door","Gray","MT VERNON AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","10","21","9","10"
"WLZ5795","VA","Volkswagen","Four Door","Gray","STONEY POINT SOUTH","NO PARKING - STREET CLEANING ","175.0","2020","10","23","9","10"
"XJZ8923","VA","Ford","Van","White","W FREEMASON STREET","NO PARKING - STREET CLEANING ","175.0","2020","11","4","9","11"
"UHK1946","VA","Kia","Four Door","Red","GATES AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","11","4","12","11"
"LIV2GIV","VA","Toyota","Four Door","Green","SEAY AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","11","5","9","11"
"M84250","VA","Nissan","Sports Utility Veh","Black","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","11","5","9","11"
"UNL7047","VA","Ford","Station Wagon","White","WESTOVER AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","11","5","10","11"
"VHS9362","VA","Honda","Van","Gray","MATOAKA STREET","NO PARKING - STREET CLEANING ","175.0","2020","11","5","10","11"
"A60946","VA","Lexus","Four Door","White","CLAREMONT AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","11","5","10","11"
"UZW4370","VA","Honda","Four Door","Black","W OLNEY ROAD","NO PARKING - STREET CLEANING ","175.0","2020","11","5","10","11"
"VPC2289","VA","Jeep","Two Door","Yellow","SHIRLEY AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","11","5","11","11"
"M59485","VA","Jeep","Four Door","Black","28TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","11","10","10","11"
"UUY6005","VA","Nissan","Four Door","Silver","W 29TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","11","10","10","11"
"UJJ5378","VA","General Motors","Sports Utility Veh","Black","34TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","11","10","11","11"
"UKR1600","VA","Honda","Sports Utility Veh","Gold","CANTON AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","11","18","9","11"
"M63960","VA","Audi","Four Door","White","BARNEY STREET","NO PARKING - STREET CLEANING ","175.0","2020","11","18","10","11"
"VYJ4813","VA","Toyota","Four Door","Red","FREMONT STREET","NO PARKING - STREET CLEANING ","175.0","2020","11","18","11","11"
"UKM2362","VA","Dodge","Four Door","White","FREMONT STREET","NO PARKING - STREET CLEANING ","175.0","2020","11","18","11","11"
"UMU9904","VA","Acura","Four Door","Black","LEIGH STREET","NO PARKING - STREET CLEANING ","175.0","2020","12","2","10","12"
"UZM5046","VA","Honda","Four Door","Black","WESTOVER AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","12","2","10","12"
"UKY4569","VA","Saturn","Sports Utility Veh","White","W OLNEY ROAD","NO PARKING - STREET CLEANING ","175.0","2020","12","3","9","12"
"USP4810","VA","Mazda","Four Door","Black","W OLNEY ROAD","NO PARKING - STREET CLEANING ","175.0","2020","12","3","9","12"
"CMBD79","FL","Ford","Sports Utility Veh","White","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","12","3","9","12"
"UJC8225","VA","Chevrolet","Sports Utility Veh","White","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","12","3","9","12"
"JWZ7455","VA","Acura","Four Door","Burgundy","MARIETTA AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","12","3","10","12"
"VMS5471","VA","Nissan","Four Door","Burgundy","MARIETTA AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","12","3","10","12"
"UNR4633","VA","Chevrolet","Van","White","MAURY AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","12","3","11","12"
"UMX6100","VA","Audi","Four Door","White","LEIGH STREET","NO PARKING - STREET CLEANING ","175.0","2020","12","3","11","12"
"UFH4088","VA","Nissan","Four Door","Black","W 31ST STREET","NO PARKING - STREET CLEANING ","175.0","2020","12","8","11","12"
"UHL3503","VA","Volkswagen","Four Door","White","34TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","12","8","11","12"
"UJH1279","VA","Honda","Four Door","Gray","W 31ST STREET","NO PARKING - STREET CLEANING ","175.0","2020","12","8","12","12"
"VPK5902","VA","Honda","Four Door","Gray","COLONIAL AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","12","9","9","12"
"UGT3805","VA","Volkswagen","Four Door","Gold","W 31ST STREET","NO PARKING - STREET CLEANING ","175.0","2020","12","9","11","12"
"UPV9643","VA","Audi","Four Door","Gray","DELAWARE AVENUE","NO PARKING - STREET CLEANING ","175.0","2020","12","9","12","12"
"UHD1345","VA","Jeep","Sports Utility Veh","Gray","36TH STREET","NO PARKING - STREET CLEANING ","175.0","2020","12","9","13","12"
"UGN2858","VA","Mitsubishi","Four Door","Gray","SCOTT STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","6","9","1"
"VTC1106","VA","Honda","Four Door","Gray","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","1","6","10","1"
"VZF9296","VA","Honda","Four Door","Black","W PRINCESS ANNE ROAD","NO PARKING - STREET CLEANING ","175.0","2021","1","6","11","1"
"UPD1697","VA","Chrysler","Four Door","Black","HARRINGTON AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","1","6","11","1"
"UFV5617","VA","Hyundai","Sports Utility Veh","Red","W PRINCESS ANNE ROAD","NO PARKING - STREET CLEANING ","175.0","2021","1","6","11","1"
"UKC8175","VA","Dodge","Four Door","Blue","W OLNEY ROAD","NO PARKING - STREET CLEANING ","175.0","2021","1","7","9","1"
"S83195","VA","Toyota","Four Door","Red","W BUTE STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","7","9","1"
"UTW3878","VA","Ford","Van","Gray","TRICE TERRACE","NO PARKING - STREET CLEANING ","175.0","2021","1","7","9","1"
"UMG3186","VA","Kia","Four Door","White","GRAYDON AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","1","7","10","1"
"VEC1817","VA","Toyota","Sports Utility Veh","Green","VIRGINIA AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","1","12","9","1"
"UGL6276","VA","BMW","Four Door","Gold","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","12","10","1"
"WNN2316","VA","Acura","Four Door","White","28TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","12","10","1"
"XBL5795","VA","Nissan","Four Door","Black","W 29TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","12","10","1"
"VNL1353","VA","Honda","Two Door","White","34TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","12","10","1"
"VHB5995","VA","Nissan","Four Door","Blue","W 31ST STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","12","10","1"
"VCT7016","VA","Toyota","Four Door","Pink","MARYLAND AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","1","13","10","1"
"UUK2052","VA","Ford","Truck","Tan","W 29TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","13","11","1"
"VHS9112","VA","Toyota","Four Door","Gray","W 31ST STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","13","11","1"
"9179XA","VA","Ford","Four Door","Black","W 29TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","13","11","1"
"VNA4824","VA","Dodge","Van","White","CHARNWOOD COURT","NO PARKING - STREET CLEANING ","175.0","2021","1","14","11","1"
"U57695","VA","Volkswagen","Four Door","Silver","WIDGEON ROAD","NO PARKING - STREET CLEANING ","175.0","2021","1","14","11","1"
"FLDGTS","VA","Mercedes-Benz","Four Door","Black","LEXINGTON STREET","NO PARKING - STREET CLEANING ","175.0","2021","1","20","12","1"
"UJM8178","VA","Honda","Sports Utility Veh","Gray","A AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","1","20","13","1"
"UJU5711","VA","Dodge","Van","Gray","B AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","1","20","13","1"
"UKW2791","VA","Mercedes-Benz","Four Door","White","B AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","1","20","13","1"
"U23428","VA","Honda","Van","Gold","B AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","1","20","13","1"
"VYT7607","VA","Ford","Two Door","Gray","YARMOUTH STREET","NO PARKING - STREET CLEANING ","175.0","2021","2","3","11","2"
"UHU4079","VA","Chevrolet","Four Door","Blue","W BUTE STREET","NO PARKING - STREET CLEANING ","175.0","2021","2","3","11","2"
"URH1928","VA","Dodge","Four Door","Silver","W PRINCESS ANNE ROAD","NO PARKING - STREET CLEANING ","175.0","2021","2","3","11","2"
"UGJ6548","VA","Mercedes-Benz","Four Door","Gray","W BUTE STREET","NO PARKING - STREET CLEANING ","175.0","2021","2","4","9","2"
"FJC8615","NC","Kia"," ","Burgundy","GRAYDON AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","2","4","10","2"
"HJT2677","OH","Hyundai","Four Door","Black","SHIRLEY AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","2","4","10","2"
"VZM8187","VA","Chevrolet","Four Door","Silver","GATES AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","2","4","11","2"
"UHZ5843","VA","Lincoln","Four Door","Gray","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","2","9","9","2"
"U85875","VA","Dodge","Sports Utility Veh","Blue","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","2","9","9","2"
"PHP8806","NC","Mercury","Four Door","White","W 29TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","2","9","10","2"
"UWK5820","VA","Lexus","Sports Utility Veh","Silver","W 29TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","2","9","10","2"
"8766XC","VA","Cadillac","Sports Utility Veh","Brown","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","2","10","9","2"
"UTK6485","VA","Nissan","Four Door","Black","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","2","10","10","2"
"UGS4306","VA","Honda","Four Door","Green","CAMPOS PLACE","NO PARKING - STREET CLEANING ","175.0","2021","2","17","9","2"
"UXG3947","VA","Kia","Four Door","White","STONEY POINT SOUTH","NO PARKING - STREET CLEANING ","175.0","2021","2","25","9","2"
"VSS1249","VA","Ford","Sports Utility Veh","Brown","STANWIX SQUARE","NO PARKING - STREET CLEANING ","175.0","2021","2","25","10","2"
"KNC7204","VA","Jeep","Sports Utility Veh","Silver","STONEY POINT SOUTH","NO PARKING - STREET CLEANING ","175.0","2021","2","26","9","2"
"UFE7325","VA","Mercedes-Benz","Sports Utility Veh","Silver","GATLING AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","3","9","3"
"X80346","VA","Nissan","Four Door","Gray","SEAY AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","3","9","3"
"UHH4101","VA","Subaru","Four Door","Gray","WESTOVER AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","3","10","3"
"UGS4441","VA","Hyundai","Sports Utility Veh","Burgundy","GRAYDON AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","3","10","3"
"ULU8096","VA","Hyundai","Two Door","Blue","LEIGH STREET","NO PARKING - STREET CLEANING ","175.0","2021","3","3","11","3"
"UTM1637","VA","Ford","Sports Utility Veh","Burgundy","SCOTT STREET","NO PARKING - STREET CLEANING ","175.0","2021","3","4","9","3"
"SHEE2","VA","Kia","Sports Utility Veh","Burgundy","GATLING AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","4","9","3"
"ULG2749","VA","Hyundai","Four Door","Silver","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","4","9","3"
"UKA1181","VA","Chevrolet","Sports Utility Veh","Gray","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","4","9","3"
"J592","VA","Nissan"," ","Blue","BRANDON AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","4","10","3"
"ZZ8922","VA","Toyota","Truck","Red","HARRINGTON AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","4","10","3"
"TOWL42","VA","Acura","Sports Utility Veh","Gray","WESTOVER AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","4","10","3"
"1710GS","VA","Jeep","Two Door","Black","RHODE ISLAND AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","3","9","10","3"
"UFH7987","VA","Ford","Four Door","Burgundy","W 29TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","3","9","10","3"
"UFM3497","VA","Nissan","Sports Utility Veh","White","W 28TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","3","9","10","3"
"KLN1600","VA","Toyota","Four Door","Gray","36TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","3","9","12","3"
"UNT1579","VA","General Motors","Sports Utility Veh","Black","36TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","3","9","13","3"
"UGM2957","VA","Hyundai","Four Door","Black","30TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","3","10","11","3"
"UHD4273","VA","Kia","Four Door","Silver","W 29TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","3","10","12","3"
"UMC5660","VA","Ford","Two Door","Red","GLENOAK DRIVE","NO PARKING - STREET CLEANING ","175.0","2021","3","11","11","3"
"UEM7959","VA","Chrysler","Four Door","White","SCOTT STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","1","8","4"
"UEH4231","VA","Ford","Sports Utility Veh","Gray","SCOTT STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","1","8","4"
"UFY7762","VA","Honda","Four Door","Gray","SEAY AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","9","4"
"UFU1678","VA","Honda","Sports Utility Veh","White","TRICE TERRACE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","9","4"
"1905UH","VA","Honda","Four Door","Gray","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","9","4"
"UGG9286","VA","Honda","Four Door","Silver","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","10","4"
"UTM2134","VA","Mazda","Two Door","White","REDGATE AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","10","4"
"UDV3055","VA","BMW","Sports Utility Veh","White","CORE AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","10","4"
"UEK8970","VA","Mitsubishi","Convertible ","Tan","HARRINGTON AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","11","4"
"VWW4419","VA","Nissan","Four Door","Black","WASHINGTON PARK","NO PARKING - STREET CLEANING ","175.0","2021","4","1","11","4"
"USC5978","VA","Kia","Van","Silver","BRANDON AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","11","4"
"UKD3471","VA","Lincoln","Sports Utility Veh","Beige","MAURY AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","12","4"
"UDN1806","VA","BMW","Four Door","Gray","CORE AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","1","12","4"
"UJT8489","VA","Nissan","Four Door","Green","SCOTT STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","7","8","4"
"UJA5202","VA","Honda","Two Door","Gold","SCOTT STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","7","8","4"
"UHG6987","VA","Lexus","Four Door","Gray","SCOTT STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","7","8","4"
"UFU1769","VA","Honda","Sports Utility Veh","Green","SEAY AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","7","9","4"
"KCG9195","VA","Honda","Sports Utility Veh","Gray","W BUTE STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","7","9","4"
"UJM8110","VA","Lexus","Four Door","Black","TRICE TERRACE","NO PARKING - STREET CLEANING ","175.0","2021","4","7","9","4"
"ULP6712","VA","Ford","Sports Utility Veh","Black","GREENWAY COURT","NO PARKING - STREET CLEANING ","175.0","2021","4","7","9","4"
"UDW1732","VA","Dodge","Four Door","White","WESTOVER AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","7","10","4"
"UZB7660","VA","Hyundai","Four Door","Gray","BRANDON AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","7","11","4"
"UWK5187","VA","Toyota","Four Door","Burgundy","NEWPORT AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","13","9","4"
"UDW4996","VA","Toyota","Four Door","Gold","W 28TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","13","9","4"
"SSDGM7","VA","Ford","Four Door","Gray","37TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","13","10","4"
"WPH4803","VA","Chevrolet","Sports Utility Veh","Black","36TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","13","10","4"
"UFH7763","VA","Acura","Four Door","Burgundy","W 31ST STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","13","10","4"
"UEP6865","VA","Toyota","Four Door","Green","W 30TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","13","10","4"
"VKM7192","VA","Toyota","Four Door","White","35TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","13","11","4"
"UGU7481","VA","Hyundai","Sports Utility Veh","White","W 28TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","14","9","4"
"3811XC","VA","Chevrolet","Truck","White","W 28TH STREET","NO PARKING - STREET CLEANING ","175.0","2021","4","14","9","4"
"UHY4034","VA","Audi","Four Door","Silver","COLONIAL AVENUE","NO PARKING - STREET CLEANING ","175.0","2021","4","14","9","4"
"UPD3501","VA","Nissan","Sedan","Black","CITY HALL AVE","NO PARKING C","175.0","2019","9","10","9","9"
"UPT6882","VA","Jeep","Four Door","Green","W 49TH ST","NO PARKING THIS SIDE C","175.0","2019","7","17","14","7"
"UVE1443","VA","Chrysler","Four Door","Gray","E MAIN STREET","NO PARKING C","173.18","2018","11","19","10","11"
"UVW4304","VA","Toyota","Sports Utility Veh","Gray","CAMBRIDGE CRESCENT","FACING WRONG WAY C","170.0","2018","11","3","0","11"
"VZG6964","VA","Saturn","Four Door","Silver","38TH STREET","FIRE HYDRANT C","170.0","2018","10","6","9","10"
"UZK8415","VA","Mercury","Sports Utility Veh","Burgundy","WESTOVER AVENUE","FIRE HYDRANT C","170.0","2018","10","18","10","10"
"UWL1264","VA","Honda","Four Door","Red","ENFIELD AVENUE","FIRE HYDRANT C","170.0","2018","11","30","22","11"
"VYH1396","VA","Ford","Four Door","Green","HARMON STREET","FIRE HYDRANT C","170.0","2018","12","10","13","12"
"UZD3988","VA","General Motors","Sports Utility Veh","Black","E LIBERTY STREET","FIRE HYDRANT C","170.0","2018","12","11","2","12"
"MOSTUFF","VA","Mazda","Four Door","Green","STATE STREET","FIRE HYDRANT C","170.0","2019","1","8","10","1"
"USW1655","VA","Ford","Sports Utility Veh","Burgundy","MONTICELLO AVENUE","FIRE HYDRANT C","170.0","2019","3","24","15","3"
"VYH1390","VA","Toyota","Four Door","Silver","STATE STREET","FIRE HYDRANT C","170.0","2019","4","18","9","4"
"VWC8343","VA","Ford","Two Door","Black","W 48TH ST","FIRE HYDRANT C","170.0","2019","4","19","11","4"
"UZE6163","VA","Mercedes-Benz","Sports Utility Veh","Black","MARATHON AVENUE","FIRE HYDRANT C","170.0","2019","4","23","13","4"
"UVD4918","VA","Honda","Four Door","Green","STATE STREET","FIRE HYDRANT C","170.0","2019","5","13","10","5"
"VSL9264","VA","Hyundai","Four Door","Beige","WOODALL ROAD","FIRE HYDRANT C","170.0","2019","8","11","6","8"
"UUB8736","VA","Hyundai","Four Door","Green","BANK STREET","FIRE HYDRANT C","170.0","2019","8","20","16","8"
